id,sentence
86,"generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters"
87,"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and"
88,"to and wai ka fai are ) sure to find an enthusiastic audience among american action-adventure buffs , but the film 's interests"
89,the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics
90,"are presented in such a lousy way , complete with some of the year 's ( unintentionally ) funniest moments , that it 's impossible to care"
91,"it 's a long way from orwell 's dark , intelligent warning cry ( 1984 ) to the empty stud knockabout of equilibrium , and"
92,"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic ."
93,seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business
94,watchable up until the point where the situations and the dialogue spin hopelessly out of control -- that is to say
95,"the audacity to view one of shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion ."
96,"redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world 's most generic rock star"
97,"high crimes carries almost no organic intrigue as a government / marine/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue ."
98,"think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet"
99,"with its lackadaisical plotting and mindless action , all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s ."
100,"a beautiful food entrée that is n't heated properly , so that it ends up a bit cold and relatively flavorless"
